                  1         2         3         4         5         6         7         8         9
  3.44E+00  4.24E-07  1.37E-06  4.65E-07  1.33E-06  5.20E-07  4.86E-05  6.24E-05  1.30E-04  2.48E-04
  3.73E+00  4.53E-07  1.70E-06  5.08E-07  1.66E-06  5.88E-07  5.23E-05  5.68E-05  1.31E-04  2.35E-04
  4.03E+00  4.80E-07  2.14E-06  5.43E-07  2.09E-06  6.46E-07  5.89E-05  5.18E-05  1.34E-04  2.22E-04
  4.36E+00  5.08E-07  2.73E-06  5.69E-07  2.63E-06  6.93E-07  6.94E-05  4.72E-05  1.42E-04  2.10E-04
  4.70E+00  5.41E-07  3.54E-06  5.93E-07  3.32E-06  7.38E-07  8.45E-05  4.31E-05  1.55E-04  1.99E-04
  5.06E+00  5.91E-07  4.65E-06  6.28E-07  4.26E-06  7.96E-07  1.06E-04  3.95E-05  1.74E-04  1.89E-04
  5.44E+00  6.67E-07  6.15E-06  6.87E-07  5.52E-06  8.90E-07  1.34E-04  3.62E-05  2.00E-04  1.79E-04
  5.84E+00  7.68E-07  8.12E-06  7.78E-07  7.19E-06  1.03E-06  1.70E-04  3.34E-05  2.33E-04  1.70E-04
  6.26E+00  8.91E-07  1.06E-05  8.94E-07  9.32E-06  1.23E-06  2.16E-04  3.10E-05  2.75E-04  1.62E-04
  6.70E+00  1.02E-06  1.36E-05  1.02E-06  1.19E-05  1.45E-06  2.73E-04  2.88E-05  3.25E-04  1.55E-04
  7.15E+00  1.15E-06  1.73E-05  1.14E-06  1.51E-05  1.69E-06  3.42E-04  2.69E-05  3.81E-04  1.48E-04
