  i  Z(km)      P(bar)      T(K)  
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 1.2457E-07 2.1002E-06 3.2925E-06
 81 1.3235E-07 2.0996E-06 3.3550E-06
 82 3.7281E-04 3.7546E-04 5.1333E-06
 83 4.2595E-04 4.3073E-04 1.0059E-05
 84 4.8662E-04 4.9583E-04 1.9053E-05
 85 5.5563E-04 5.7278E-04 3.4918E-05
 86 6.3300E-04 6.6393E-04 6.1959E-05
 87 7.1789E-04 7.7192E-04 1.0648E-04
 88 8.0823E-04 8.9962E-04 1.7718E-04
 89 9.0031E-04 1.0500E-03 2.8535E-04
 90 9.8862E-04 1.2256E-03 4.4446E-04
 91 1.0660E-03 1.4289E-03 6.6906E-04
 92 1.1243E-03 1.6611E-03 9.7299E-04
 93 1.1553E-03 1.9225E-03 1.3674E-03
 94 1.1522E-03 2.2121E-03 1.8588E-03
 95 1.1103E-03 2.5277E-03 2.4487E-03
 96 1.0128E-03 2.8637E-03 3.1799E-03
 97 8.6146E-04 3.1811E-03 3.9038E-03
 98 6.0569E-04 3.4250E-03 4.7332E-03
 99 1.8999E-04 3.5531E-03 5.5985E-03
100 0.0000E+00 3.5828E-03 6.0615E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.4057E+06 1.0000E+00 2.1039E+02
  2 4.3328E+06 1.2655E+00 2.0721E+02
  3 4.2614E+06 1.5986E+00 2.0456E+02
  4 4.1916E+06 2.0159E+00 2.0170E+02
  5 4.1231E+06 2.5375E+00 1.9983E+02
  6 4.0556E+06 3.1884E+00 1.9851E+02
  7 3.9892E+06 3.9991E+00 1.9716E+02
  8 3.9237E+06 5.0071E+00 1.9630E+02
  9 3.8589E+06 6.2580E+00 1.9582E+02
 10 3.7948E+06 7.8076E+00 1.9564E+02
 11 3.7312E+06 9.7234E+00 1.9576E+02
 12 3.6681E+06 1.2088E+01 1.9611E+02
 13 3.6054E+06 1.5001E+01 1.9662E+02
 14 3.5430E+06 1.8582E+01 1.9720E+02
 15 3.4810E+06 2.2978E+01 1.9780E+02
 16 3.4193E+06 2.8363E+01 1.9836E+02
 17 3.3580E+06 3.4948E+01 1.9884E+02
 18 3.2971E+06 4.2985E+01 1.9922E+02
 19 3.2366E+06 5.2776E+01 1.9949E+02
 20 3.1766E+06 6.4683E+01 1.9966E+02
 21 3.1171E+06 7.9135E+01 1.9977E+02
 22 3.0582E+06 9.6643E+01 1.9982E+02
 23 2.9997E+06 1.1782E+02 1.9984E+02
 24 2.9418E+06 1.4337E+02 1.9985E+02
 25 2.8844E+06 1.7416E+02 1.9985E+02
 26 2.8276E+06 2.1118E+02 1.9984E+02
 27 2.7713E+06 2.5562E+02 1.9983E+02
 28 2.7155E+06 3.0887E+02 1.9983E+02
 29 2.6603E+06 3.7253E+02 1.9982E+02
 30 2.6056E+06 4.4853E+02 1.9981E+02
 31 2.5515E+06 5.3906E+02 1.9981E+02
 32 2.4979E+06 6.4672E+02 1.9980E+02
 33 2.4448E+06 7.7450E+02 1.9980E+02
 34 2.3922E+06 9.2587E+02 1.9981E+02
 35 2.3402E+06 1.1049E+03 1.9981E+02
 36 2.2888E+06 1.3161E+03 1.9982E+02
 37 2.2378E+06 1.5650E+03 1.9983E+02
 38 2.1874E+06 1.8576E+03 1.9985E+02
